DrivHist,DrivingSkill,Age,RuggedAuto,Mileage,VehicleYear,ILiCost,ThisCarDam,AntiTheft,DrivQuality,RiskAversion,GoodStudent,OtherCar,MakeModel,Accident,SocioEcon,HomeBase,PropCost,CarValue,Antilock,ThisCarCost,OtherCarCost,Theft,Airbag,MedCost,SeniorTrain,Cushioning
Many,SubStandard,Adult,EggShell,TwentyThou,Older,Thousand,,True,Poor,Normal,False,True,Economy,,Middle,Suburb,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,Football,TwentyThou,Current,Thousand,,False,Poor,Adventurous,False,True,Luxury,,UpperMiddle,Secure,TenThou,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Expert,Adult,Football,FiftyThou,Current,Thousand,,False,Excellent,Normal,False,True,FamilySedan,,Middle,Suburb,TenThou,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Expert,Senior,Football,FiftyThou,Older,Thousand,,False,Excellent,Cautious,False,True,FamilySedan,,Prole,City,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,True,Good
Zero,Normal,Adult,EggShell,TwentyThou,Current,Thousand,,False,Normal,Adventurous,False,False,Economy,,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adult,Football,FiftyThou,Older,Thousand,,False,Poor,Adventurous,False,False,FamilySedan,,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,Normal,Adolescent,EggShell,FiftyThou,Older,Thousand,,False,Normal,Adventurous,False,False,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Senior,Tank,TwentyThou,Older,Thousand,,False,Normal,Normal,False,True,FamilySedan,,Middle,Suburb,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Good
Zero,Expert,Senior,EggShell,TwentyThou,Older,Thousand,,True,Excellent,Cautious,False,True,Economy,,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,True,Thousand,True,Good
Zero,Normal,Adult,EggShell,Domino,Older,Thousand,,True,Normal,Normal,False,True,SportsCar,,Middle,Secure,Thousand,FiftyThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,EggShell,FiftyThou,Current,Thousand,,True,Poor,Normal,False,True,FamilySedan,,UpperMiddle,Suburb,Thousand,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Adolescent,Football,TwentyThou,Older,Thousand,Severe,False,Poor,Normal,False,False,FamilySedan,Severe,Middle,Suburb,TenThou,FiveThou,False,TenThou,TenThou,False,True,Thousand,False,Excellent
Zero,SubStandard,Senior,EggShell,Domino,Older,Thousand,Severe,True,Poor,Cautious,False,False,SportsCar,Severe,Prole,City,HundredThou,FiveThou,False,TenThou,HundredThou,False,False,Million,True,Fair
